"timestamp","Output_Video_Timestamp","gaze2d","Object_Label","Object_BB","Overlapping_Objects","Overlapping_Objects_BBs","Detected_Objects","BBs_all"
31.968944370000003,1.3333333333333333,"(0.46742573, 0.38824558)","blue pentagon","[0.5098540186882019, 0.3922480344772339, 0.08282948285341263, 0.10856333374977112]","['blue pentagon']","[[0.5098540186882019, 0.3922480344772339, 0.08282948285341263, 0.10856333374977112]]","['purple circle', 'yellow star', 'pink rectangle red rectangle', 'yellow triangle', 'blue rectangle blue pentagon', 'blue pentagon', 'pink rectangle red circle red rectangle']","[[0.8759222030639648, 0.2691124975681305, 0.0959654226899147, 0.12627066671848297], [0.6387255191802979, 0.2831362187862396, 0.08962420374155045, 0.13743947446346283], [0.5081337094306946, 0.02215029112994671, 0.07278900593519211, 0.043108873069286346], [0.13356323540210724, 0.366875022649765, 0.10609569400548935, 0.1534118354320526], [0.2814260721206665, 0.2760104835033417, 0.09960261732339859, 0.10773831605911255], [0.5098540186882019, 0.3922480344772339, 0.08282948285341263, 0.10856333374977112], [0.5090934038162231, 0.0288547296077013, 0.09654968231916428, 0.057251401245594025]]"
32.039104370000004,1.4,"(0.46944982, 0.38496366)","blue pentagon","[0.5103158354759216, 0.39242276549339294, 0.08221795409917831, 0.10804492235183716]","['blue pentagon']","[[0.5103158354759216, 0.39242276549339294, 0.08221795409917831, 0.10804492235183716]]","['purple circle', 'yellow star', 'pink rectangle red rectangle', 'yellow triangle', 'blue rectangle blue pentagon', 'blue pentagon', 'pink rectangle red circle red rectangle']","[[0.8765959143638611, 0.26951614022254944, 0.09558217227458954, 0.12625542283058167], [0.639177143573761, 0.2835649847984314, 0.08943825960159302, 0.13634592294692993], [0.5087536573410034, 0.02225426398217678, 0.07288610935211182, 0.04350048303604126], [0.1342676430940628, 0.36692479252815247, 0.10610739886760712, 0.15291523933410645], [0.28201958537101746, 0.2761431932449341, 0.09934569150209427, 0.10828736424446106], [0.5103158354759216, 0.39242276549339294, 0.08221795409917831, 0.10804492235183716], [0.5094399452209473, 0.030697964131832123, 0.09619217365980148, 0.06014740839600563]]"
32.10925437,1.4666666666666666,"(0.474686, 0.3881522)","blue pentagon","[0.5105031132698059, 0.3923757076263428, 0.08220944553613663, 0.10776089131832123]","['blue pentagon']","[[0.5105031132698059, 0.3923757076263428, 0.08220944553613663, 0.10776089131832123]]","['purple circle', 'yellow star', 'pink rectangle red rectangle', 'yellow triangle', 'blue rectangle blue pentagon', 'blue pentagon', 'pink rectangle red circle red rectangle']","[[0.8768096566200256, 0.26957210898399353, 0.0953657329082489, 0.1259833127260208], [0.639353334903717, 0.28346842527389526, 0.08953345566987991, 0.13610172271728516], [0.508804202079773, 0.022241713479161263, 0.07322519272565842, 0.043467648327350616], [0.13469824194908142, 0.3669370412826538, 0.10584717243909836, 0.15288789570331573], [0.2822002172470093, 0.2761479318141937, 0.09920801222324371, 0.10779096931219101], [0.5105031132698059, 0.3923757076263428, 0.08220944553613663, 0.10776089131832123], [0.5094419121742249, 0.030756119638681412, 0.09684552997350693, 0.06029261648654938]]"
32.16930637,1.5333333333333332,"(0.47604823, 0.38613436)","blue pentagon","[0.51093590259552, 0.39226531982421875, 0.08186667412519455, 0.1080111712217331]","['blue pentagon']","[[0.51093590259552, 0.39226531982421875, 0.08186667412519455, 0.1080111712217331]]","['purple circle', 'yellow star', 'pink rectangle red rectangle', 'yellow triangle', 'blue rectangle blue pentagon', 'blue pentagon', 'pink rectangle red circle red rectangle']","[[0.877663254737854, 0.26983559131622314, 0.09565093368291855, 0.12583883106708527], [0.6400974988937378, 0.28366902470588684, 0.0897761881351471, 0.1366676390171051], [0.509493350982666, 0.022256266325712204, 0.07254169881343842, 0.043309424072504044], [0.13558724522590637, 0.3668666481971741, 0.10603994876146317, 0.15288493037223816], [0.2829253673553467, 0.27609023451805115, 0.09920447319746017, 0.10796381533145905], [0.51093590259552, 0.39226531982421875, 0.08186667412519455, 0.1080111712217331], [0.5100473761558533, 0.03002127818763256, 0.09656833857297897, 0.05888291448354721]]"
32.23946737,1.5999999999999999,"(0.47470924, 0.3831823)","blue pentagon","[0.5110798478126526, 0.39229610562324524, 0.0819023996591568, 0.10835637152194977]","['blue pentagon']","[[0.5110798478126526, 0.39229610562324524, 0.0819023996591568, 0.10835637152194977]]","['purple circle', 'yellow star', 'pink rectangle circle red rectangle', 'yellow triangle', 'blue rectangle blue pentagon', 'blue pentagon', 'pink rectangle red circle red rectangle']","[[0.8778688907623291, 0.27014705538749695, 0.0958300307393074, 0.12650857865810394], [0.6403836607933044, 0.28415560722351074, 0.08955521136522293, 0.1376456618309021], [0.509630560874939, 0.02211061306297779, 0.07255296409130096, 0.0431523323059082], [0.13562172651290894, 0.36597388982772827, 0.10608921945095062, 0.15213030576705933], [0.2830643951892853, 0.2757238745689392, 0.09901035577058792, 0.10733287781476974], [0.5110798478126526, 0.39229610562324524, 0.0819023996591568, 0.10835637152194977], [0.5100088715553284, 0.02997167594730854, 0.09639288485050201, 0.058927759528160095]]"
32.30961737,1.6666666666666665,"(0.47270158, 0.38088408)","blue pentagon","[0.5112251043319702, 0.39185190200805664, 0.08201343566179276, 0.1081240251660347]","['blue pentagon']","[[0.5112251043319702, 0.39185190200805664, 0.08201343566179276, 0.1081240251660347]]","['purple circle', 'yellow star', 'yellow triangle', 'pink rectangle circle red rectangle', 'blue rectangle blue pentagon', 'blue pentagon', 'pink rectangle red circle red rectangle']","[[0.8782939910888672, 0.26961731910705566, 0.09623750299215317, 0.1268393099308014], [0.640470564365387, 0.2833074629306793, 0.0893615335226059, 0.13765591382980347], [0.13574020564556122, 0.3651808500289917, 0.10606477409601212, 0.1515938937664032], [0.5098883509635925, 0.021830160170793533, 0.07223668694496155, 0.04263480007648468], [0.2832437753677368, 0.2751707434654236, 0.09930932521820068, 0.1082000881433487], [0.5112251043319702, 0.39185190200805664, 0.08201343566179276, 0.1081240251660347], [0.5102412700653076, 0.029797298833727837, 0.09537523984909058, 0.0586526095867157]]"
32.36966937,1.7333333333333332,"(0.472969, 0.38072345)","blue pentagon","[0.5113669037818909, 0.3911409080028534, 0.08262940496206284, 0.10955065488815308]","['blue pentagon']","[[0.5113669037818909, 0.3911409080028534, 0.08262940496206284, 0.10955065488815308]]","['purple circle', 'yellow star', 'yellow triangle', 'blue rectangle blue pentagon', 'pink rectangle red rectangle', 'blue pentagon', 'pink rectangle red circle red rectangle']","[[0.8786160945892334, 0.2685324251651764, 0.0960824191570282, 0.12713387608528137], [0.640712320804596, 0.2824738323688507, 0.08937891572713852, 0.13712432980537415], [0.13579806685447693, 0.3643045723438263, 0.10606306791305542, 0.15243852138519287], [0.2833627760410309, 0.27432727813720703, 0.09934065490961075, 0.10844084620475769], [0.5097650289535522, 0.02123059518635273, 0.0717225968837738, 0.04143986105918884], [0.5113669037818909, 0.3911409080028534, 0.08262940496206284, 0.10955065488815308], [0.5101879835128784, 0.029760628938674927, 0.09459497034549713, 0.058342013508081436]]"
32.43982987,1.7999999999999998,"(0.47391716, 0.3822911)","blue pentagon","[0.5113955140113831, 0.39076730608940125, 0.08216272294521332, 0.1083064004778862]","['blue pentagon']","[[0.5113955140113831, 0.39076730608940125, 0.08216272294521332, 0.1083064004778862]]","['purple circle', 'yellow star', 'yellow triangle', 'blue rectangle blue pentagon', 'pink rectangle red rectangle', 'blue pentagon', 'pink rectangle red circle red rectangle']","[[0.8788033723831177, 0.26784074306488037, 0.0960831418633461, 0.12759505212306976], [0.6407621502876282, 0.2817949652671814, 0.08942749351263046, 0.13653989136219025], [0.13570375740528107, 0.36464110016822815, 0.10609528422355652, 0.15286722779273987], [0.28323060274124146, 0.27417516708374023, 0.09955614805221558, 0.10869484394788742], [0.5098082423210144, 0.02112063765525818, 0.07183848321437836, 0.041167937219142914], [0.5113955140113831, 0.39076730608940125, 0.08216272294521332, 0.1083064004778862], [0.5101891756057739, 0.029704291373491287, 0.09517843276262283, 0.058159247040748596]]"
32.50997987,1.8666666666666665,"(0.47480217, 0.3864386)","blue pentagon","[0.5112605690956116, 0.3911018371582031, 0.08240599930286407, 0.10853423923254013]","['blue pentagon']","[[0.5112605690956116, 0.3911018371582031, 0.08240599930286407, 0.10853423923254013]]","['purple circle', 'yellow star', 'yellow triangle', 'pink rectangle red rectangle', 'blue rectangle blue pentagon', 'blue pentagon', 'rectangle red circle red rectangle']","[[0.8786471486091614, 0.2678467631340027, 0.09562142193317413, 0.12686806917190552], [0.640683650970459, 0.2818068563938141, 0.0894593596458435, 0.13612785935401917], [0.13565471768379211, 0.36483249068260193, 0.10584758222103119, 0.15206541121006012], [0.5097939372062683, 0.021233968436717987, 0.07199559360742569, 0.041479796171188354], [0.2830941081047058, 0.27446770668029785, 0.09933632612228394, 0.10854741185903549], [0.5112605690956116, 0.3911018371582031, 0.08240599930286407, 0.10853423923254013], [0.5101995468139648, 0.029320869594812393, 0.09440609067678452, 0.05760876089334488]]"
32.57003187,1.9333333333333331,"(0.47511882, 0.3867652)","blue pentagon","[0.5109761953353882, 0.3921683430671692, 0.08220528811216354, 0.10824207961559296]","['blue pentagon']","[[0.5109761953353882, 0.3921683430671692, 0.08220528811216354, 0.10824207961559296]]","['purple circle', 'yellow star', 'pink rectangle circle red rectangle', 'yellow triangle', 'blue rectangle blue pentagon', 'blue pentagon', 'pink rectangle red circle red rectangle']","[[0.8780274987220764, 0.2690608501434326, 0.09574013948440552, 0.12675200402736664], [0.6403023600578308, 0.28304237127304077, 0.08985692262649536, 0.13640759885311127], [0.5095808506011963, 0.021669551730155945, 0.07200728356838226, 0.04231489077210426], [0.13523373007774353, 0.36640283465385437, 0.10601463168859482, 0.15265856683254242], [0.28296834230422974, 0.275473415851593, 0.09895696491003036, 0.10710671544075012], [0.5109761953353882, 0.3921683430671692, 0.08220528811216354, 0.10824207961559296], [0.5100694298744202, 0.02978423424065113, 0.09495040774345398, 0.05847359448671341]]"
32.64019237,1.9999999999999998,"(0.476484, 0.387044)","blue pentagon","[0.5053909420967102, 0.39528900384902954, 0.08408968150615692, 0.10819435864686966]","['blue pentagon']","[[0.5053909420967102, 0.39528900384902954, 0.08408968150615692, 0.10819435864686966]]","['purple circle', 'yellow star', 'pink rec red circle red rectangle', 'yellow triangle', 'blue pentagon', 'blue rectangle blue pentagon', 'red circle red rectangle']","[[0.8700321316719055, 0.2737646996974945, 0.0991499051451683, 0.1283363550901413], [0.6347633004188538, 0.2872810661792755, 0.0909382551908493, 0.1343710571527481], [0.505327045917511, 0.023699713870882988, 0.07481731474399567, 0.04608691856265068], [0.12696650624275208, 0.3686999976634979, 0.1112375259399414, 0.1532069742679596], [0.5053909420967102, 0.39528900384902954, 0.08408968150615692, 0.10819435864686966], [0.27701056003570557, 0.27818387746810913, 0.1007763221859932, 0.10742074251174927], [0.5059207081794739, 0.0318867526948452, 0.1032169759273529, 0.06206267699599266]]"
32.71034187,2.0666666666666664,"(0.47789654, 0.38695914)","blue pentagon","[0.4987562894821167, 0.3973647356033325, 0.08502954989671707, 0.10834140330553055]","['blue pentagon']","[[0.4987562894821167, 0.3973647356033325, 0.08502954989671707, 0.10834140330553055]]","['purple circle', 'red circle red rectangle', 'yellow star', 'yellow triangle', 'blue rectangle blue pentagon', 'blue pentagon', 'red circle red rectangle']","[[0.8603918552398682, 0.2772650122642517, 0.09878935664892197, 0.12891258299350739], [0.4996662437915802, 0.02481095865368843, 0.07658208906650543, 0.048131875693798065], [0.6281489133834839, 0.28947561979293823, 0.0909167155623436, 0.13476169109344482], [0.11718063056468964, 0.36998873949050903, 0.1139560341835022, 0.15395043790340424], [0.2695242166519165, 0.2792266011238098, 0.10320506989955902, 0.10820496082305908], [0.4987562894821167, 0.3973647356033325, 0.08502954989671707, 0.10834140330553055], [0.5003950595855713, 0.03309265151619911, 0.10651037842035294, 0.06431358307600021]]"
32.77039437,2.1333333333333333,"(0.47733983, 0.3845946)","blue pentagon","[0.4810727536678314, 0.4037243127822876, 0.08702816814184189, 0.10903014987707138]","['blue pentagon']","[[0.4810727536678314, 0.4037243127822876, 0.08702816814184189, 0.10903014987707138]]","['purple circle', 'pink rectangle red circle red rectangle', 'yellow star', 'yellow triangle', 'blue rectangle blue pentagon', 'blue pentagon', 'rec red circle red rectangle', 'pink rectangle red rectangle']","[[0.8350966572761536, 0.28725507855415344, 0.09838294237852097, 0.12640906870365143], [0.4830876290798187, 0.028727952390909195, 0.07975038886070251, 0.05553974211215973], [0.610158383846283, 0.29693207144737244, 0.09240016341209412, 0.1354362964630127], [0.09064026921987534, 0.37347084283828735, 0.11959270387887955, 0.1565922051668167], [0.24882642924785614, 0.2820970118045807, 0.10784812271595001, 0.11018793284893036], [0.4810727536678314, 0.4037243127822876, 0.08702816814184189, 0.10903014987707138], [0.4834079444408417, 0.03521088510751724, 0.10594289004802704, 0.0679924488067627], [0.9906423687934875, 0.41479185223579407, 0.015858788043260574, 0.12764111161231995]]"
32.84055437,2.2,"(0.47792065, 0.38446584)","blue pentagon","[0.47132280468940735, 0.40861573815345764, 0.08711019158363342, 0.10914445668458939]","['blue pentagon']","[[0.47132280468940735, 0.40861573815345764, 0.08711019158363342, 0.10914445668458939]]","['purple circle', 'pink rectangle red rectangle', 'yellow star', 'yellow triangle', 'blue pentagon', 'blue rectangle blue pentagon', 'red circle rec']","[[0.820792019367218, 0.2957940697669983, 0.09670023620128632, 0.12660539150238037], [0.9829095602035522, 0.4187189042568207, 0.02969604730606079, 0.13045309484004974], [0.5994287729263306, 0.30244553089141846, 0.09187032282352448, 0.13542471826076508], [0.07645329087972641, 0.37641119956970215, 0.12084358930587769, 0.15921977162361145], [0.47132280468940735, 0.40861573815345764, 0.08711019158363342, 0.10914445668458939], [0.23758693039417267, 0.28576648235321045, 0.1102537140250206, 0.11414527893066406], [0.47404277324676514, 0.03214352950453758, 0.08284421265125275, 0.06238460913300514]]"
32.91070437,2.266666666666667,"(0.47847807, 0.384148)","blue pentagon","[0.4529103934764862, 0.4198426902294159, 0.08664866536855698, 0.11054579168558121]","['blue pentagon']","[[0.4529103934764862, 0.4198426902294159, 0.08664866536855698, 0.11054579168558121]]","['purple circle', 'pink rectangle red rectangle', 'yellow star', 'yellow triangle', 'blue pentagon', 'blue rectangle blue pentagon', 'red circle', 'pink rectangle red rectangle', 'red rectangle']","[[0.794880211353302, 0.3114948868751526, 0.0897936299443245, 0.12183089554309845], [0.9682528972625732, 0.4337632954120636, 0.05909651890397072, 0.13286909461021423], [0.5799049139022827, 0.3152396082878113, 0.09013788402080536, 0.13360856473445892], [0.05490434914827347, 0.38354766368865967, 0.10733205825090408, 0.16016137599945068], [0.4529103934764862, 0.4198426902294159, 0.08664866536855698, 0.11054579168558121], [0.21460111439228058, 0.2934359908103943, 0.11376486718654633, 0.11772200465202332], [0.45565545558929443, 0.03845858573913574, 0.08531329780817032, 0.07473532855510712], [0.9621788263320923, 0.43628859519958496, 0.07115887850522995, 0.18025512993335724], [0.9681645035743713, 0.4339386224746704, 0.05848931148648262, 0.13131189346313477]]"
32.970756370000004,2.333333333333334,"(0.47813687, 0.38265273)","blue pentagon","[0.43519407510757446, 0.4314158260822296, 0.08627182245254517, 0.10997623205184937]","['blue pentagon']","[[0.43519407510757446, 0.4314158260822296, 0.08627182245254517, 0.10997623205184937]]","['purple circle', 'pink rectangle red rectangle', 'yellow star', 'red rectangle', 'yellow triangle', 'blue rectangle blue pentagon', 'blue pentagon', 'red circle', 'yellow triangle', 'blue rectangle', 'pink rectangle red rectangle']","[[0.7711877822875977, 0.32666435837745667, 0.08683314174413681, 0.12033869326114655], [0.9536411166191101, 0.4496862292289734, 0.08808449655771255, 0.13674648106098175], [0.5576658844947815, 0.32819849252700806, 0.09852148592472076, 0.1336996853351593], [0.9535861611366272, 0.44923633337020874, 0.08664163202047348, 0.1345546394586563], [0.04131752997636795, 0.3942103981971741, 0.0808231383562088, 0.16126297414302826], [0.19308257102966309, 0.30308642983436584, 0.11662299185991287, 0.11931966990232468], [0.43519407510757446, 0.4314158260822296, 0.08627182245254517, 0.10997623205184937], [0.43842631578445435, 0.04554598405957222, 0.08631133288145065, 0.08843284100294113], [0.5957213044166565, 0.03534344956278801, 0.07053481787443161, 0.06733940541744232], [0.6636315584182739, 0.1291431486606598, 0.23337608575820923, 0.14522595703601837], [0.9463367462158203, 0.45317625999450684, 0.10288788378238678, 0.20209167897701263]]"
